"Kod";"Nazwa";"ludność w tysiącach;2023;[tys. osób]";
0201000;"Powiat bolesławiecki";87,64;
0202000;"Powiat dzierżoniowski";94,74;
0203000;"Powiat głogowski";85,04;
0204000;"Powiat górowski";32,46;
0205000;"Powiat jaworski";47,21;
0206000;"Powiat karkonoski";60,44;
0207000;"Powiat kamiennogórski";40,32;
0208000;"Powiat kłodzki";146,95;
0209000;"Powiat legnicki";55,03;
0210000;"Powiat lubański";51,41;
0211000;"Powiat lubiński";102,87;
0212000;"Powiat lwówecki";42,82;
0213000;"Powiat milicki";35,60;
0214000;"Powiat oleśnicki";106,52;
0215000;"Powiat oławski";77,43;
0216000;"Powiat polkowicki";61,19;
0217000;"Powiat strzeliński";41,78;
0218000;"Powiat średzki";59,08;
0219000;"Powiat świdnicki";150,41;
0220000;"Powiat trzebnicki";87,64;
0221000;"Powiat wałbrzyski";52,66;
0222000;"Powiat wołowski";45,46;
0223000;"Powiat wrocławski";187,15;
0224000;"Powiat ząbkowicki";60,56;
0225000;"Powiat zgorzelecki";85,14;
0226000;"Powiat złotoryjski";40,62;
0261000;"Powiat m. Jelenia Góra";75,12;
0262000;"Powiat m. Legnica";91,95;
0264000;"Powiat m. Wrocław";673,74;
0265000;"Powiat m. Wałbrzych od 2013";100,29;
0401000;"Powiat aleksandrowski";53,46;
0402000;"Powiat brodnicki";77,79;
0403000;"Powiat bydgoski";126,98;
0404000;"Powiat chełmiński";49,12;
0405000;"Powiat golubsko-dobrzyński";43,28;
0406000;"Powiat grudziądzki";39,14;
0407000;"Powiat inowrocławski";150,56;
0408000;"Powiat lipnowski";62,58;
0409000;"Powiat mogileński";43,58;
0410000;"Powiat nakielski";82,87;
0411000;"Powiat radziejowski";37,81;
0412000;"Powiat rypiński";41,19;
0413000;"Powiat sępoleński";38,83;
0414000;"Powiat świecki";94,83;
0415000;"Powiat toruński";114,30;
0416000;"Powiat tucholski";46,92;
0417000;"Powiat wąbrzeski";32,42;
0418000;"Powiat włocławski";82,15;
0419000;"Powiat żniński";67,54;
0461000;"Powiat m. Bydgoszcz";326,43;
0462000;"Powiat m. Grudziądz";88,66;
0463000;"Powiat m. Toruń";194,77;
0464000;"Powiat m. Włocławek";100,81;
0601000;"Powiat bialski";104,85;
0602000;"Powiat biłgorajski";96,16;
0603000;"Powiat chełmski";73,71;
0604000;"Powiat hrubieszowski";56,78;
0605000;"Powiat janowski";42,80;
0606000;"Powiat krasnostawski";59,04;
0607000;"Powiat kraśnicki";89,22;
0608000;"Powiat lubartowski";83,98;
0609000;"Powiat lubelski";164,47;
0610000;"Powiat łęczyński";55,72;
0611000;"Powiat łukowski";100,96;
0612000;"Powiat opolski";55,65;
0613000;"Powiat parczewski";32,22;
0614000;"Powiat puławski";107,02;
0615000;"Powiat radzyński";55,02;
0616000;"Powiat rycki";51,56;
0617000;"Powiat świdnicki";69,27;
0618000;"Powiat tomaszowski";77,02;
0619000;"Powiat włodawski";35,40;
0620000;"Powiat zamojski";100,75;
0661000;"Powiat m. Biała Podlaska";54,45;
0662000;"Powiat m. Chełm";57,21;
0663000;"Powiat m. Lublin";329,57;
0664000;"Powiat m. Zamość";58,23;
0801000;"Powiat gorzowski";73,90;
0802000;"Powiat krośnieński";52,72;
0803000;"Powiat międzyrzecki";54,84;
0804000;"Powiat nowosolski";82,28;
0805000;"Powiat słubicki";45,85;
0806000;"Powiat strzelecko-drezdenecki";46,66;
0807000;"Powiat sulęciński";33,50;
0808000;"Powiat świebodziński";53,96;
0809000;"Powiat zielonogórski";75,08;
0810000;"Powiat żagański";73,60;
0811000;"Powiat żarski";91,21;
0812000;"Powiat wschowski";37,25;
0861000;"Powiat m. Gorzów Wielkopolski";115,25;
0862000;"Powiat m. Zielona Góra";138,93;
1001000;"Powiat bełchatowski";108,60;
1002000;"Powiat kutnowski";90,67;
1003000;"Powiat łaski";48,74;
1004000;"Powiat łęczycki";46,67;
1005000;"Powiat łowicki";74,01;
1006000;"Powiat łódzki wschodni";74,71;
1007000;"Powiat opoczyński";71,78;
1008000;"Powiat pabianicki";119,07;
1009000;"Powiat pajęczański";48,58;
1010000;"Powiat piotrkowski";90,12;
1011000;"Powiat poddębicki";39,36;
1012000;"Powiat radomszczański";106,67;
1013000;"Powiat rawski";46,08;
1014000;"Powiat sieradzki";111,48;
1015000;"Powiat skierniewicki";37,79;
1016000;"Powiat tomaszowski";110,63;
1017000;"Powiat wieluński";72,59;
1018000;"Powiat wieruszowski";41,45;
1019000;"Powiat zduńskowolski";63,33;
1020000;"Powiat zgierski";166,34;
1021000;"Powiat brzeziński";30,16;
1061000;"Powiat m. Łódź";652,02;
1062000;"Powiat m. Piotrków Trybunalski";66,52;
1063000;"Powiat m. Skierniewice";45,18;
1201000;"Powiat bocheński";106,95;
1202000;"Powiat brzeski";91,67;
1203000;"Powiat chrzanowski";118,68;
1204000;"Powiat dąbrowski";57,55;
1205000;"Powiat gorlicki";105,32;
1206000;"Powiat krakowski";302,35;
1207000;"Powiat limanowski";131,65;
1208000;"Powiat miechowski";46,67;
1209000;"Powiat myślenicki";129,84;
1210000;"Powiat nowosądecki";215,03;
1211000;"Powiat nowotarski";190,11;
1212000;"Powiat olkuski";105,90;
1213000;"Powiat oświęcimski";148,42;
1214000;"Powiat proszowicki";42,01;
1215000;"Powiat suski";82,89;
1216000;"Powiat tarnowski";197,34;
1217000;"Powiat tatrzański";66,48;
1218000;"Powiat wadowicki";157,47;
