"Kod";"Nazwa";"saldo migracji;ogółem;2023;[osoba]";
0201000;"Powiat bolesławiecki";22;
0202000;"Powiat dzierżoniowski";-178;
0203000;"Powiat głogowski";-291;
0204000;"Powiat górowski";-122;
0205000;"Powiat jaworski";-116;
0206000;"Powiat karkonoski";17;
0207000;"Powiat kamiennogórski";-131;
0208000;"Powiat kłodzki";-276;
0209000;"Powiat legnicki";246;
0210000;"Powiat lubański";-107;
0211000;"Powiat lubiński";-118;
0212000;"Powiat lwówecki";-93;
0213000;"Powiat milicki";-96;
0214000;"Powiat oleśnicki";295;
0215000;"Powiat oławski";235;
0216000;"Powiat polkowicki";35;
0217000;"Powiat strzeliński";31;
0218000;"Powiat średzki";658;
0219000;"Powiat świdnicki";4;
0220000;"Powiat trzebnicki";588;
0221000;"Powiat wałbrzyski";-8;
0222000;"Powiat wołowski";-11;
0223000;"Powiat wrocławski";3821;
0224000;"Powiat ząbkowicki";-105;
0225000;"Powiat zgorzelecki";-183;
0226000;"Powiat złotoryjski";-150;
0261000;"Powiat m. Jelenia Góra";-65;
0262000;"Powiat m. Legnica";-604;
0264000;"Powiat m. Wrocław";783;
0265000;"Powiat m. Wałbrzych od 2013";-464;
0401000;"Powiat aleksandrowski";20;
0402000;"Powiat brodnicki";-95;
0403000;"Powiat bydgoski";1622;
0404000;"Powiat chełmiński";-105;
0405000;"Powiat golubsko-dobrzyński";-141;
0406000;"Powiat grudziądzki";58;
0407000;"Powiat inowrocławski";-435;
0408000;"Powiat lipnowski";-203;
0409000;"Powiat mogileński";-135;
0410000;"Powiat nakielski";-82;
0411000;"Powiat radziejowski";-196;
0412000;"Powiat rypiński";-77;
0413000;"Powiat sępoleński";-159;
0414000;"Powiat świecki";-153;
0415000;"Powiat toruński";951;
0416000;"Powiat tucholski";-30;
0417000;"Powiat wąbrzeski";-83;
0418000;"Powiat włocławski";-16;
0419000;"Powiat żniński";-71;
0461000;"Powiat m. Bydgoszcz";-1674;
0462000;"Powiat m. Grudziądz";-279;
0463000;"Powiat m. Toruń";-382;
0464000;"Powiat m. Włocławek";-451;
0601000;"Powiat bialski";-146;
0602000;"Powiat biłgorajski";-464;
0603000;"Powiat chełmski";-149;
0604000;"Powiat hrubieszowski";-390;
0605000;"Powiat janowski";-199;
0606000;"Powiat krasnostawski";-219;
0607000;"Powiat kraśnicki";-389;
0608000;"Powiat lubartowski";-171;
0609000;"Powiat lubelski";1487;
0610000;"Powiat łęczyński";-60;
0611000;"Powiat łukowski";-554;
0612000;"Powiat opolski";-209;
0613000;"Powiat parczewski";-173;
0614000;"Powiat puławski";-234;
0615000;"Powiat radzyński";-345;
0616000;"Powiat rycki";-282;
0617000;"Powiat świdnicki";99;
0618000;"Powiat tomaszowski";-441;
0619000;"Powiat włodawski";-162;
0620000;"Powiat zamojski";-167;
0661000;"Powiat m. Biała Podlaska";-289;
0662000;"Powiat m. Chełm";-401;
0663000;"Powiat m. Lublin";-546;
0664000;"Powiat m. Zamość";-303;
0801000;"Powiat gorzowski";588;
0802000;"Powiat krośnieński";-106;
0803000;"Powiat międzyrzecki";-139;
0804000;"Powiat nowosolski";-14;
0805000;"Powiat słubicki";-4;
0806000;"Powiat strzelecko-drezdenecki";-141;
0807000;"Powiat sulęciński";-71;
0808000;"Powiat świebodziński";-103;
0809000;"Powiat zielonogórski";243;
0810000;"Powiat żagański";-248;
0811000;"Powiat żarski";-225;
0812000;"Powiat wschowski";-89;
0861000;"Powiat m. Gorzów Wielkopolski";-557;
0862000;"Powiat m. Zielona Góra";113;
1001000;"Powiat bełchatowski";-126;
1002000;"Powiat kutnowski";-143;
1003000;"Powiat łaski";11;
1004000;"Powiat łęczycki";-74;
1005000;"Powiat łowicki";-209;
1006000;"Powiat łódzki wschodni";665;
1007000;"Powiat opoczyński";-242;
1008000;"Powiat pabianicki";540;
1009000;"Powiat pajęczański";-159;
1010000;"Powiat piotrkowski";49;
1011000;"Powiat poddębicki";11;
1012000;"Powiat radomszczański";-319;
1013000;"Powiat rawski";-180;
1014000;"Powiat sieradzki";-322;
1015000;"Powiat skierniewicki";112;
1016000;"Powiat tomaszowski";-150;
1017000;"Powiat wieluński";-127;
1018000;"Powiat wieruszowski";-16;
1019000;"Powiat zduńskowolski";-75;
1020000;"Powiat zgierski";701;
1021000;"Powiat brzeziński";91;
1061000;"Powiat m. Łódź";-1701;
1062000;"Powiat m. Piotrków Trybunalski";-301;
1063000;"Powiat m. Skierniewice";-135;
1201000;"Powiat bocheński";63;
1202000;"Powiat brzeski";-65;
1203000;"Powiat chrzanowski";-181;
1204000;"Powiat dąbrowski";-95;
1205000;"Powiat gorlicki";-204;
1206000;"Powiat krakowski";2228;
1207000;"Powiat limanowski";-150;
1208000;"Powiat miechowski";-25;
1209000;"Powiat myślenicki";313;
1210000;"Powiat nowosądecki";-323;
1211000;"Powiat nowotarski";-197;
1212000;"Powiat olkuski";-347;
1213000;"Powiat oświęcimski";-164;
1214000;"Powiat proszowicki";-63;
1215000;"Powiat suski";-22;
