"Kod";"Nazwa";"dzieci w wieku 3-5 lat przypadająca na jedną placówkę wychowania przedszkolnego;2023;[osoba]";
0201000;"Powiat bolesławiecki";73,59;
0202000;"Powiat dzierżoniowski";75,00;
0203000;"Powiat głogowski";59,53;
0204000;"Powiat górowski";56,94;
0205000;"Powiat jaworski";87,29;
0206000;"Powiat karkonoski";99,36;
0207000;"Powiat kamiennogórski";91,50;
0208000;"Powiat kłodzki";69,50;
0209000;"Powiat legnicki";115,14;
0210000;"Powiat lubański";66,95;
0211000;"Powiat lubiński";91,06;
0212000;"Powiat lwówecki";119,67;
0213000;"Powiat milicki";118,33;
0214000;"Powiat oleśnicki";87,29;
0215000;"Powiat oławski";76,89;
0216000;"Powiat polkowicki";79,13;
0217000;"Powiat strzeliński";60,21;
0218000;"Powiat średzki";93,14;
0219000;"Powiat świdnicki";72,33;
0220000;"Powiat trzebnicki";106,88;
0221000;"Powiat wałbrzyski";95,54;
0222000;"Powiat wołowski";81,38;
0223000;"Powiat wrocławski";84,49;
0224000;"Powiat ząbkowicki";58,50;
0225000;"Powiat zgorzelecki";74,37;
0226000;"Powiat złotoryjski";63,56;
0261000;"Powiat m. Jelenia Góra";75,36;
0262000;"Powiat m. Legnica";53,80;
0264000;"Powiat m. Wrocław";61,81;
0265000;"Powiat m. Wałbrzych od 2013";73,83;
0401000;"Powiat aleksandrowski";70,14;
0402000;"Powiat brodnicki";99,85;
0403000;"Powiat bydgoski";108,60;
0404000;"Powiat chełmiński";100,50;
0405000;"Powiat golubsko-dobrzyński";77,50;
0406000;"Powiat grudziądzki";180,00;
0407000;"Powiat inowrocławski";112,89;
0408000;"Powiat lipnowski";53,97;
0409000;"Powiat mogileński";103,46;
0410000;"Powiat nakielski";96,38;
0411000;"Powiat radziejowski";119,00;
0412000;"Powiat rypiński";119,50;
0413000;"Powiat sępoleński";163,29;
0414000;"Powiat świecki";125,61;
0415000;"Powiat toruński";133,43;
0416000;"Powiat tucholski";121,54;
0417000;"Powiat wąbrzeski";161,67;
0418000;"Powiat włocławski";96,76;
0419000;"Powiat żniński";103,65;
0461000;"Powiat m. Bydgoszcz";64,97;
0462000;"Powiat m. Grudziądz";88,12;
0463000;"Powiat m. Toruń";63,85;
0464000;"Powiat m. Włocławek";58,46;
0601000;"Powiat bialski";88,53;
0602000;"Powiat biłgorajski";130,05;
0603000;"Powiat chełmski";139,60;
0604000;"Powiat hrubieszowski";56,91;
0605000;"Powiat janowski";74,00;
0606000;"Powiat krasnostawski";118,50;
0607000;"Powiat kraśnicki";81,29;
0608000;"Powiat lubartowski";109,05;
0609000;"Powiat lubelski";115,68;
0610000;"Powiat łęczyński";122,13;
0611000;"Powiat łukowski";61,34;
0612000;"Powiat opolski";169,56;
0613000;"Powiat parczewski";104,11;
0614000;"Powiat puławski";75,05;
0615000;"Powiat radzyński";77,05;
0616000;"Powiat rycki";76,38;
0617000;"Powiat świdnicki";105,33;
0618000;"Powiat tomaszowski";113,47;
0619000;"Powiat włodawski";78,58;
0620000;"Powiat zamojski";120,18;
0661000;"Powiat m. Biała Podlaska";74,68;
0662000;"Powiat m. Chełm";64,65;
0663000;"Powiat m. Lublin";57,46;
0664000;"Powiat m. Zamość";61,25;
0801000;"Powiat gorzowski";95,08;
0802000;"Powiat krośnieński";98,20;
0803000;"Powiat międzyrzecki";100,33;
0804000;"Powiat nowosolski";81,81;
0805000;"Powiat słubicki";68,20;
0806000;"Powiat strzelecko-drezdenecki";164,25;
0807000;"Powiat sulęciński";116,00;
0808000;"Powiat świebodziński";81,42;
0809000;"Powiat zielonogórski";89,04;
0810000;"Powiat żagański";99,16;
0811000;"Powiat żarski";89,48;
0812000;"Powiat wschowski";63,82;
0861000;"Powiat m. Gorzów Wielkopolski";64,57;
0862000;"Powiat m. Zielona Góra";68,89;
1001000;"Powiat bełchatowski";75,27;
1002000;"Powiat kutnowski";85,78;
1003000;"Powiat łaski";80,47;
1004000;"Powiat łęczycki";126,20;
1005000;"Powiat łowicki";113,67;
1006000;"Powiat łódzki wschodni";74,17;
1007000;"Powiat opoczyński";76,83;
1008000;"Powiat pabianicki";84,82;
1009000;"Powiat pajęczański";86,44;
1010000;"Powiat piotrkowski";78,78;
1011000;"Powiat poddębicki";117,20;
1012000;"Powiat radomszczański";101,59;
1013000;"Powiat rawski";147,20;
1014000;"Powiat sieradzki";102,25;
1015000;"Powiat skierniewicki";64,89;
1016000;"Powiat tomaszowski";85,05;
1017000;"Powiat wieluński";70,93;
1018000;"Powiat wieruszowski";59,24;
1019000;"Powiat zduńskowolski";82,55;
1020000;"Powiat zgierski";82,75;
1021000;"Powiat brzeziński";124,71;
1061000;"Powiat m. Łódź";66,24;
1062000;"Powiat m. Piotrków Trybunalski";44,58;
1063000;"Powiat m. Skierniewice";68,72;
1201000;"Powiat bocheński";68,19;
1202000;"Powiat brzeski";55,67;
1203000;"Powiat chrzanowski";64,11;
1204000;"Powiat dąbrowski";75,52;
1205000;"Powiat gorlicki";59,48;
1206000;"Powiat krakowski";75,13;
1207000;"Powiat limanowski";89,11;
1208000;"Powiat miechowski";87,27;
1209000;"Powiat myślenicki";76,63;
1210000;"Powiat nowosądecki";90,47;
1211000;"Powiat nowotarski";81,66;
1212000;"Powiat olkuski";66,28;
1213000;"Powiat oświęcimski";65,59;
1214000;"Powiat proszowicki";72,71;
1215000;"Powiat suski";81,15;
1216000;"Powiat tarnowski";72,80;
1217000;"Powiat tatrzański";91,57;
1218000;"Powiat wadowicki";85,80;
1219000;"Powiat wielicki";63,75;
