"Kod";"Nazwa";"rok;2023;[%]";
0000000;"POLSKA";59,45;
0200000;"DOLNOŚLĄSKIE";67,36;
0201000;"Powiat bolesławiecki";46,96;
0201011;"Bolesławiec (1)";100,00;
0201043;"Nowogrodziec (3)";28,05;
0201044;"Nowogrodziec - miasto (4)";100,00;
0202000;"Powiat dzierżoniowski";78,10;
0202011;"Bielawa (1)";100,00;
0202021;"Dzierżoniów (1)";100,00;
0202033;"Pieszyce (3)";75,98;
0202034;"Pieszyce - miasto (4)";100,00;
0202041;"Piława Górna (1)";100,00;
0202073;"Niemcza (3)";53,44;
0202074;"Niemcza - miasto (4)";100,00;
0203000;"Powiat głogowski";72,96;
0203011;"Głogów (1)";100,00;
0204000;"Powiat górowski";40,82;
0204013;"Góra (3)";57,97;
0204014;"Góra - miasto (4)";100,00;
0204043;"Wąsosz (3)";37,69;
0204044;"Wąsosz - miasto (4)";100,00;
0205000;"Powiat jaworski";53,24;
0205011;"Jawor (1)";100,00;
0205023;"Bolków (3)";48,32;
0205024;"Bolków - miasto (4)";100,00;
0206000;"Powiat karkonoski";42,15;
0206011;"Karpacz (1)";100,00;
0206021;"Kowary (1)";100,00;
0206031;"Piechowice (1)";100,00;
0206041;"Szklarska Poręba (1)";100,00;
0207000;"Powiat kamiennogórski";56,17;
0207011;"Kamienna Góra (1)";100,00;
0207033;"Lubawka (3)";54,58;
0207034;"Lubawka - miasto (4)";100,00;
0208000;"Powiat kłodzki";63,10;
0208011;"Duszniki-Zdrój (1)";100,00;
0208021;"Kłodzko (1)";100,00;
0208031;"Kudowa-Zdrój (1)";100,00;
0208041;"Nowa Ruda (1)";100,00;
0208051;"Polanica-Zdrój (1)";100,00;
0208063;"Bystrzyca Kłodzka (3)";51,95;
0208064;"Bystrzyca Kłodzka - miasto (4)";100,00;
0208083;"Lądek-Zdrój (3)";66,23;
0208084;"Lądek-Zdrój - miasto (4)";100,00;
0208103;"Międzylesie (3)";35,15;
0208104;"Międzylesie - miasto (4)";100,00;
0208123;"Radków (3)";26,68;
0208124;"Radków - miasto (4)";100,00;
0208133;"Stronie Śląskie (3)";73,87;
0208134;"Stronie Śląskie - miasto (4)";100,00;
0208143;"Szczytna (3)";69,61;
0208144;"Szczytna - miasto (4)";100,00;
0209000;"Powiat legnicki";28,81;
0209011;"Chojnów (1)";100,00;
0209073;"Prochowice (3)";49,01;
0209074;"Prochowice - miasto (4)";100,00;
0210000;"Powiat lubański";61,83;
0210011;"Lubań (1)";100,00;
0210021;"Świeradów-Zdrój (1)";100,00;
0210033;"Leśna (3)";43,14;
0210034;"Leśna - miasto (4)";100,00;
0210053;"Olszyna (3)";68,41;
0210054;"Olszyna - miasto (4)";100,00;
0211000;"Powiat lubiński";70,84;
0211011;"Lubin (1)";100,00;
0211043;"Ścinawa (3)";56,12;
0211044;"Ścinawa - miasto (4)";100,00;
0212000;"Powiat lwówecki";49,51;
0212013;"Gryfów Śląski (3)";67,19;
0212014;"Gryfów Śląski - miasto (4)";100,00;
0212023;"Lubomierz (3)";31,59;
0212024;"Lubomierz - miasto (4)";100,00;
0212033;"Lwówek Śląski (3)";50,55;
0212034;"Lwówek Śląski - miasto (4)";100,00;
0212043;"Mirsk (3)";44,53;
0212044;"Mirsk - miasto (4)";100,00;
0212053;"Wleń (3)";40,23;
0212054;"Wleń - miasto (4)";100,00;
0213000;"Powiat milicki";30,25;
0213033;"Milicz (3)";46,71;
0213034;"Milicz - miasto (4)";100,00;
0214000;"Powiat oleśnicki";54,47;
0214011;"Oleśnica (1)";100,00;
0214023;"Bierutów (3)";47,97;
0214024;"Bierutów - miasto (4)";100,00;
0214053;"Międzybórz (3)";46,15;
0214054;"Międzybórz - miasto (4)";100,00;
0214073;"Syców (3)";60,22;
0214074;"Syców - miasto (4)";100,00;
0214083;"Twardogóra (3)";49,33;
0214084;"Twardogóra - miasto (4)";100,00;
0215000;"Powiat oławski";62,21;
0215011;"Oława (1)";100,00;
0215033;"Jelcz-Laskowice (3)";63,28;
0215034;"Jelcz-Laskowice - miasto (4)";100,00;
0216000;"Powiat polkowicki";56,06;
0216013;"Chocianów (3)";59,43;
0216014;"Chocianów - miasto (4)";100,00;
0216043;"Polkowice (3)";79,56;
